"PORT","COUNTRY","ISEU","LOCODE","LAT","LON","PORT_CALL count"
"Crofton","CA",0,"CACRO",48.87,-123.64,18
"La Goulette","TN",0,"TNRDS",36.81,10.29,18
"Ba Yu Quan","CN",0,"",35.31,118.41,17
"Bar","ME",0,"MEBAR",42.09,19.08,17
"Bartin","TR",0,"TRBTN",41.68,32.24,17
"Goole","GB",1,"GBGOO",53.7,-0.87,17
"Hoping","TW",0,"TWHOP",25.23,121.84,17
"Portland","US",0,"USPQD",43.65,-70.25,17
"Talcahuano","CL",0,"CLTAL",-36.69,-73.1,17
"Almeria","ES",1,"ESLEI",36.58,-2.64,16
"Garston","GB",1,"GBCSN",53.35,-2.91,16
"Ibiza","ES",1,"ESIBZ",38.91,1.44,16
"Mariveles","PH",0,"PHMVS",14.42,120.5,16
"Massawa","ER",0,"ERMSW",15.61,39.48,16
"Rabigh","SA",0,"SARAB",22.74,38.99,16
"Sandnessjoen","NO",0,"NOSSJ",66.03,12.64,16
"Sanya","CN",0,"CNSYX",18.23,109.51,16
"Sunderland","GB",1,"GBSUN",54.92,-1.37,16
"Vasteras","SE",1,"SEVST",59.46,17.02,16
"Wakkanai","JP",0,"JPWKJ",45.41,141.68,16
"Antalya","TR",0,"TRAYT",36.48,30.74,15
"Arzev","DZ",0,"DZAZW",35.84,-0.29,15
"Burnie","AU",0,"AUBWT",-41.05,145.91,15
"Cap-Haitien","HT",0,"HTCAP",19.76,-72.19,15
"Fall River","US",0,"USFAV",41.7,-71.18,15
"Gwangyang","KR",0,"KRKAN",34.88,127.72,15
"Itea","GR",1,"GRITA",38.44,22.41,15
"Mukran","DE",1,"DEMUK",54.48,13.59,15
"Nanao (China)","CN",0,"CNNAN",23.43,117,15
"Porto Empedocle","IT",1,"ITPEM",37.28,13.53,15
"Pula","HR",1,"HRPUY",44.87,13.79,15
"San Joaquin Harbor","US",0,"",38.02,-121.79,15
"Sochi","RU",0,"RUSOC",43.58,39.72,15
"Thunder Bay","CA",0,"CATHU",48.36,-89.23,15
"Uddevalla","SE",1,"",58.34,11.9,15
"Zwijndrecht","NL",1,"NLZWI",51.81,4.62,15
"Ardalstangen","NO",0,"NOARD",61.23,7.7,14
"Arguineguin","ES",1,"ESARI",27.75,-15.67,14
"Bataan","PH",0,"PHBTN",14.5,120.6,14
"Bayonne","FR",1,"FRBAY",43.53,-1.51,14
"Chabahar","IR",0,"IRZBR",25.31,60.59,14
"Derna","LY",0,"LYDNF",32.76,22.66,14
"Guanta","VE",0,"VEGUT",10.25,-64.59,14
"Harwich","GB",1,"GBHRW",51.94,1.28,14
"Keflavik","IS",0,"ISKEF",64.02,-22.56,14
"Marquette","US",0,"USMQT",46.55,-87.37,14
"Otaru","JP",0,"JPOTR",43.2,141.02,14
"Pietarsaari","FI",1,"FIPRS",63.71,22.69,14
"Reggio Calabria","IT",1,"ITREG",38.12,15.64,14
"Salina","CW",0,"",12.08,-68.31,14
"Siam Maspion LPG Terminal","ID",0,"",-7.11,112.65,14
"Zhapozhen","CN",0,"",22.87,113.69,14
"Anjeong","KR",0,"KRANJ",34.94,128.43,13
"Ardossan","AU",0,"AUARD",-34.44,137.93,13
"Caen-Ouistreham","FR",1,"FRCFR",49.22,-0.3,13
"Chalkis","GR",1,"GRCLK",38.43,23.6,13
"Esperance","AU",0,"AUEPR",-33.87,121.9,13
"Ipswich","GB",1,"GBIPS",52.04,1.16,13
"Mariehamn","FI",1,"FIMHQ",60.11,19.92,13
"Piraeus","GR",1,"GRPIR",37.95,23.61,13
"Rocky Point","JM",0,"JMROP",17.82,-77.14,13
"Santos","BR",0,"BRSSZ",-23.95,-46.35,13
"Tampico","MX",0,"MXTAM",22.21,-97.87,13
"WEDEL","DE",1,"DEWED",53.57,9.69,13
"West Sacramento","US",0,"USSAC",38.56,-121.54,13
"Xiasha","CN",0,"",30.28,120.39,13
"Fernandina","US",0,"USFEB",30.68,-81.46,12
"Great Yarmouth","GB",1,"GBGTY",52.58,1.74,12
"Imperia","IT",1,"ITIMP",43.89,8.04,12
"Jinzhou","CN",0,"CNJNZ",40.83,121.05,12
"Les Sables-d'Olonne","FR",1,"FRLSO",46.5,-1.79,12
"Limay Terminals","PH",0,"PHLIM",14.52,120.62,12
"Soyo","AO",0,"AOSZA",-6.12,12.32,12
"Tallinn","EE",1,"EETLL",59.46,24.65,12
"Tenes","DZ",0,"DZTEN",36.53,1.32,12
"Vanino","RU",0,"RUVNN",49.09,140.31,12
"Yangon","MM",0,"MMRGN",16.8,96.18,12
"Acajutla Offshore Terminal","SV",0,"SVAQJ",13.57,-89.86,11
"Agio Theodoroi","GR",1,"GRAGT",37.92,23.09,11
"Ajaccio","FR",1,"FRAJA",41.93,8.74,11
"Akranes","IS",0,"ISAKR",64.31,-22.08,11
"Bata","GQ",0,"GQBSG",1.82,9.73,11
"Bell Bay","AU",0,"AUBEL",-41.14,146.88,11
